/usr/local/lib/python3.8/dist-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /opt/pytorch/pytorch/aten/src/ATen/native/TensorShape.cpp:3423.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
<<<iteration:[20/525] - total_loss: 6.9731  obj_loss: 0.0772  noobj_loss: 3.9329  bbox_loss: 0.7826  cls_loss: 1.0162
<<<iteration:[40/525] - total_loss: 3.8196  obj_loss: 0.0522  noobj_loss: 2.6349  bbox_loss: 0.3829  cls_loss: 0.5354
<<<iteration:[60/525] - total_loss: 3.2380  obj_loss: 0.0586  noobj_loss: 2.3305  bbox_loss: 0.3300  cls_loss: 0.3641
<<<iteration:[80/525] - total_loss: 3.2955  obj_loss: 0.0496  noobj_loss: 2.2320  bbox_loss: 0.3516  cls_loss: 0.3718
<<<iteration:[100/525] - total_loss: 4.5594  obj_loss: 0.0439  noobj_loss: 2.1509  bbox_loss: 0.6174  cls_loss: 0.3530
<<<iteration:[120/525] - total_loss: 3.6070  obj_loss: 0.0408  noobj_loss: 2.0752  bbox_loss: 0.4348  cls_loss: 0.3545
<<<iteration:[140/525] - total_loss: 3.2490  obj_loss: 0.0394  noobj_loss: 1.9889  bbox_loss: 0.3683  cls_loss: 0.3735
<<<iteration:[160/525] - total_loss: 3.2121  obj_loss: 0.0278  noobj_loss: 1.8492  bbox_loss: 0.3840  cls_loss: 0.3398
<<<iteration:[180/525] - total_loss: 2.9009  obj_loss: 0.0470  noobj_loss: 1.8052  bbox_loss: 0.3304  cls_loss: 0.2992
<<<iteration:[200/525] - total_loss: 2.5927  obj_loss: 0.0369  noobj_loss: 1.6413  bbox_loss: 0.2871  cls_loss: 0.2998
<<<iteration:[220/525] - total_loss: 2.5539  obj_loss: 0.0375  noobj_loss: 1.5626  bbox_loss: 0.2733  cls_loss: 0.3684
<<<iteration:[240/525] - total_loss: 2.6962  obj_loss: 0.0363  noobj_loss: 1.5090  bbox_loss: 0.3146  cls_loss: 0.3327
<<<iteration:[260/525] - total_loss: 2.3708  obj_loss: 0.0317  noobj_loss: 1.4344  bbox_loss: 0.2575  cls_loss: 0.3342
<<<iteration:[280/525] - total_loss: 2.1931  obj_loss: 0.0364  noobj_loss: 1.3856  bbox_loss: 0.2268  cls_loss: 0.3300
<<<iteration:[300/525] - total_loss: 2.2358  obj_loss: 0.0397  noobj_loss: 1.2663  bbox_loss: 0.2513  cls_loss: 0.3062
<<<iteration:[320/525] - total_loss: 2.1133  obj_loss: 0.0328  noobj_loss: 1.2191  bbox_loss: 0.2237  cls_loss: 0.3524
<<<iteration:[340/525] - total_loss: 2.2733  obj_loss: 0.0311  noobj_loss: 1.2324  bbox_loss: 0.2664  cls_loss: 0.2942
<<<iteration:[360/525] - total_loss: 2.0514  obj_loss: 0.0332  noobj_loss: 1.1961  bbox_loss: 0.2334  cls_loss: 0.2532
<<<iteration:[380/525] - total_loss: 2.0564  obj_loss: 0.0320  noobj_loss: 1.1925  bbox_loss: 0.2264  cls_loss: 0.2959
<<<iteration:[400/525] - total_loss: 1.8591  obj_loss: 0.0347  noobj_loss: 1.2250  bbox_loss: 0.1834  cls_loss: 0.2952
<<<iteration:[420/525] - total_loss: 1.9609  obj_loss: 0.0335  noobj_loss: 1.1353  bbox_loss: 0.2175  cls_loss: 0.2724
<<<iteration:[440/525] - total_loss: 1.9867  obj_loss: 0.0408  noobj_loss: 1.1140  bbox_loss: 0.2178  cls_loss: 0.2999
<<<iteration:[460/525] - total_loss: 1.9120  obj_loss: 0.0332  noobj_loss: 1.0727  bbox_loss: 0.2087  cls_loss: 0.2987
